id,a,n,c,s,tz,pc,sc,url
1611661330,ATL,Dream,Atlanta,GA,ET,#4891ce,#e3173e,https://dream.wnba.com
1611661329,CHI,Sky,Chicago,IL,CT,#4d90cd,#ffd520,https://sky.wnba.com
1611661323,CON,Sun,Connecticut,CT,ET,#002d62,#bf2f38,https://sun.wnba.com
1611661321,DAL,Wings,Dallas,TX,CT,#0d2240,#c4d600,https://wings.wnba.com
1611661325,IND,Fever,Indiana,IN,ET,#002d62,#e03a3e,https://fever.wnba.com
1611661319,LVA,Aces,Las Vegas,NV,PT,#c3002f,#061922,https://aces.wnba.com
1611661320,LAS,Sparks,Los Angeles,CA,PT,#552583,#fdb927,https://sparks.wnba.com
1611661324,MIN,Lynx,Minnesota,MN,CT,#005083,#00a94f,https://lynx.wnba.com
1611661313,NYL,Liberty,New York,NY,ET,#86cebc,#061922,https://liberty.wnba.com
1611661317,PHO,Mercury,Phoenix,AZ,PT,#1d1160,#e56020,https://mercury.wnba.com
1611661328,SEA,Storm,Seattle,WA,PT,#2c5235,#fee11a,https://storm.wnba.com
1611661322,WAS,Mystics,Washington,DC,ET,#e03a3e,#002b5c,https://mystics.wnba.com
